# Actual Command, Previous Torque, Measured Torque, Predicted Command
10.000,8.615,6.612,11.630
12.700,6.612,8.423,14.137
10.000,8.423,8.960,14.606
12.500,8.960,7.921,13.290
12.300,7.921,8.756,14.411
13.700,8.756,9.445,15.144
12.300,9.445,8.243,15.567
13.700,8.243,10.452,18.414
13.500,10.452,9.241,16.786
15.500,9.241,9.241,16.860
15.100,9.241,8.345,15.712
16.300,8.345,10.535,18.508
15.900,10.535,12.117,20.233
13.700,12.117,8.923,16.280
