# TimeStamp (s), BrakeCommand (%), Actual Brake Torque (%), Motor Current (A), Motor Speed (%)
2.27,0.00,0.00,0.96,4.99
2.28,0.00,2.20,0.00,5.03
2.29,0.00,1.10,0.00,5.07
2.29,0.00,0.00,1.20,5.01
2.30,0.00,1.10,1.14,4.94
2.31,0.00,-1.00,0.96,4.99
nan,nan,nan,nan,nan
2.31,0.00,2.20,0.96,4.96
2.32,0.00,-0.50,0.06,5.01
2.33,0.00,1.70,0.00,5.07
2.34,0.00,0.60,1.02,5.01
2.35,0.00,0.60,0.06,5.05
2.35,0.00,0.60,1.92,4.99
2.36,0.00,2.80,1.80,4.92
nan,nan,nan,nan,nan
2.37,0.00,2.80,0.06,5.01
2.37,0.00,-3.20,0.00,5.05
2.38,0.00,-1.60,1.86,4.99
2.39,0.00,2.80,1.74,4.94
2.40,0.00,1.70,0.90,4.99
2.41,0.00,-0.50,0.00,5.03
nan,nan,nan,nan,nan
2.41,0.00,2.80,0.06,5.09
2.42,0.00,0.60,1.02,5.03
2.43,0.00,0.00,0.00,5.07
2.43,0.00,-1.60,1.08,5.01
2.44,0.00,2.20,1.02,4.99
2.45,0.00,1.10,1.02,4.92
2.46,0.00,-0.50,0.96,4.96
2.47,0.00,0.00,0.18,5.01
2.47,0.00,-1.00,0.00,5.05
nan,nan,nan,nan,nan
2.48,0.00,-0.50,1.02,5.01
2.49,0.00,0.60,0.36,5.05
2.50,0.00,3.30,1.02,5.01
2.50,0.00,0.60,0.96,4.96
2.51,0.00,1.10,0.96,4.90
2.52,0.00,0.60,0.00,4.96
2.52,0.00,0.00,0.00,5.01
2.53,0.00,2.20,0.06,5.05
2.54,0.00,1.10,1.50,4.99
2.55,0.00,-1.60,1.62,4.92
nan,nan,nan,nan,nan
2.55,0.00,0.60,0.00,4.99
2.56,0.00,0.60,0.06,5.03
2.57,0.00,1.10,0.72,4.99
2.58,0.00,-3.20,0.00,5.03
2.58,0.00,0.60,0.66,4.99
2.59,0.00,0.60,0.06,5.03
2.60,0.00,-1.00,1.56,4.96
2.61,0.00,1.10,1.56,4.92
2.61,0.00,0.60,1.02,4.96
2.62,0.00,0.00,0.30,5.01
2.63,0.00,0.60,0.00,5.05
nan,nan,nan,nan,nan
2.63,0.00,0.60,0.60,5.01
2.64,0.00,1.10,0.06,5.05
2.65,0.00,-0.50,1.92,4.99
2.66,0.00,3.30,1.44,4.94
2.66,0.00,-1.00,0.00,5.01
2.67,0.00,0.60,0.06,5.05
2.68,0.00,0.00,1.14,4.99
2.69,0.00,-1.00,0.00,5.03
nan,nan,nan,nan,nan
2.69,0.00,-1.00,1.02,4.99
2.70,0.00,0.00,0.06,5.03
2.71,0.00,-0.50,0.06,5.07
2.72,0.00,2.20,1.14,5.03
2.73,0.00,1.10,0.96,4.99
2.73,0.00,1.10,1.98,4.92
2.74,0.00,2.20,0.96,4.96
nan,nan,nan,nan,nan
2.75,0.00,0.60,0.96,4.94
2.75,0.00,-2.10,0.96,4.99
2.76,0.00,-2.10,0.06,5.03
2.77,0.00,-1.00,0.96,4.99
2.78,0.00,2.20,0.06,5.03
2.79,0.00,3.80,1.08,5.01
nan,nan,nan,nan,nan
2.79,0.00,0.00,1.92,4.94
2.80,0.00,-0.50,1.08,4.88
2.81,0.00,1.70,0.06,4.96
2.82,0.00,-1.00,0.06,5.01
2.83,0.00,0.00,0.00,5.05
2.83,0.00,0.60,1.26,4.99
2.84,0.00,0.00,0.66,5.03
nan,nan,nan,nan,nan
2.85,0.00,0.00,0.54,4.99
2.85,0.00,-2.10,0.06,5.03
2.86,0.00,1.10,0.84,4.99
2.87,0.00,0.60,1.26,4.92
2.88,0.00,-2.70,0.00,4.99
2.89,0.00,1.10,1.50,4.92
2.89,0.00,0.60,0.66,4.96
2.90,0.00,0.60,0.06,5.01
2.91,0.00,0.60,0.72,4.96
2.91,0.00,1.70,0.06,5.01
2.92,0.00,1.10,0.90,4.96
nan,nan,nan,nan,nan
2.93,0.00,0.00,0.06,5.01
2.93,0.00,1.10,1.02,4.96
2.94,0.00,0.60,0.06,5.01
2.95,0.00,-0.50,1.98,4.94
2.96,0.00,1.10,1.50,4.88
2.96,0.00,1.10,0.96,4.94
2.97,0.00,-2.10,1.20,4.90
2.98,0.00,2.20,0.90,4.94
2.99,0.00,1.70,0.60,4.99
2.99,0.00,2.20,0.12,5.05
nan,nan,nan,nan,nan
3.00,0.00,3.30,0.12,5.09
3.01,0.00,2.20,0.90,5.03
3.01,0.00,0.00,0.06,5.07
3.02,0.00,-0.50,1.02,5.01
3.03,0.00,-0.50,0.90,4.99
3.04,0.00,-1.00,0.00,5.03
nan,nan,nan,nan,nan
3.05,0.00,-1.60,1.02,4.99
3.06,0.00,1.70,1.56,4.92
3.06,0.00,4.40,0.06,5.01
3.07,0.00,1.10,0.96,4.94
3.08,0.00,1.70,0.96,4.99
3.08,0.00,2.80,0.06,5.03
3.09,0.00,1.10,1.02,4.96
3.10,0.00,0.60,0.06,5.01
3.11,0.00,1.10,0.66,4.96
3.11,0.00,0.60,0.00,5.01
nan,nan,nan,nan,nan
3.12,0.00,-0.50,1.02,4.96
3.13,0.00,0.00,0.00,5.01
3.14,0.00,1.10,0.06,5.05
3.14,0.00,1.70,1.50,4.99
3.15,0.00,0.60,1.86,4.96
3.16,0.00,-0.50,1.08,4.90
3.17,0.00,2.20,0.60,4.94
3.17,0.00,0.60,0.90,4.99
3.18,0.00,0.00,0.96,4.96
nan,nan,nan,nan,nan
3.19,0.00,-0.50,0.06,5.01
3.20,0.00,0.60,0.00,5.05
3.20,0.00,-0.50,1.26,4.99
3.21,0.00,2.20,1.86,4.94
3.22,0.00,-1.00,1.02,4.99
3.23,0.00,1.70,0.06,5.05
nan,nan,nan,nan,nan
3.23,0.00,0.60,0.66,5.01
3.24,0.00,1.10,0.06,5.05
3.25,0.00,0.00,1.20,4.99
3.26,0.00,-1.60,0.06,5.03
3.26,0.00,1.70,1.02,4.99
3.27,0.00,1.70,0.00,5.03
3.28,0.00,-0.50,1.14,4.99
nan,nan,nan,nan,nan
3.29,0.00,-0.50,1.62,4.94
3.30,0.00,1.10,0.90,4.99
